GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - Same house 1 year ago,Margin of Error; Total: - Same house 1 year ago,Estimate; Total: - Different house in United States 1 year ago:,Margin of Error; Total: - Different house in United States 1 year ago:,Estimate; Total: - Different house in United States 1 year ago: - Same Metropolitan Statistical Area:,Margin of Error; Total: - Different house in United States 1 year ago: - Same Metropolitan Statistical Area:,Estimate; Total: - Different house in United States 1 year ago: - Same Metropolitan Statistical Area: - Moved from principal city,Margin of Error; Total: - Different house in United States 1 year ago: - Same Metropolitan Statistical Area: - Moved from principal city,Estimate; Total: - Different house in United States 1 year ago: - Same Metropolitan Statistical Area: - Moved from remainder of Metropolitan Statistical Area,Margin of Error; Total: - Different house in United States 1 year ago: - Same Metropolitan Statistical Area: - Moved from remainder of Metropolitan Statistical Area,Estimate; Total: - Different house in United States 1 year ago: - Different Metropolitan Statistical Area:,Margin of Error; Total: - Different house in United States 1 year ago: - Different Metropolitan Statistical Area:,Estimate; Total: - Different house in United States 1 year ago: - Different Metropolitan Statistical Area: - Moved from principal city,Margin of Error; Total: - Different house in United States 1 year ago: - Different Metropolitan Statistical Area: - Moved from principal city,Estimate; Total: - Different house in United States 1 year ago: - Different Metropolitan Statistical Area: - Moved from remainder of Metropolitan Statistical Area,Margin of Error; Total: - Different house in United States 1 year ago: - Different Metropolitan Statistical Area: - Moved from remainder of Metropolitan Statistical Area,Estimate; Total: - Different house in United States 1 year ago: - Micropolitan Statistical Area:,Margin of Error; Total: - Different house in United States 1 year ago: - Micropolitan Statistical Area:,Estimate; Total: - Different house in United States 1 year ago: - Micropolitan Statistical Area: - Moved from principal city,Margin of Error; Total: - Different house in United States 1 year ago: - Micropolitan Statistical Area: - Moved from principal city,Estimate; Total: - Different house in United States 1 year ago: - Micropolitan Statistical Area: - Moved from remainder of Micropolitan Statistical Area,Margin of Error; Total: - Different house in United States 1 year ago: - Micropolitan Statistical Area: - Moved from remainder of Micropolitan Statistical Area,Estimate; Total: - Different house in United States 1 year ago: - Not in a Metropolitan or Micropolitan Statistical Area 1 year ago,Margin of Error; Total: - Different house in United States 1 year ago: - Not in a Metropolitan or Micropolitan Statistical Area 1 year ago,Estimate; Total: - Abroad 1 year ago,Margin of Error; Total: - Abroad 1 year ago
1500000US380170009042,380170009042,"Block Group 2, Census Tract 9.04, Cass County, North Dakota",1690,263,1302,285,388,174,215,118,186,120,29,33,173,125,102,81,71,105,0,9,0,9,0,9,0,9,0,9
1500000US380170009043,380170009043,"Block Group 3, Census Tract 9.04, Cass County, North Dakota",1367,309,1062,324,305,150,108,73,85,68,23,28,132,135,25,29,107,137,54,84,0,9,54,84,11,17,0,9
1500000US380170010011,380170010011,"Block Group 1, Census Tract 10.01, Cass County, North Dakota",1983,306,1277,250,706,278,395,190,293,190,102,73,182,160,96,134,86,86,57,73,14,21,43,69,72,54,0,9
1500000US380170010012,380170010012,"Block Group 2, Census Tract 10.01, Cass County, North Dakota",1887,343,1541,292,346,202,171,129,171,129,0,9,163,189,163,189,0,9,0,9,0,9,0,9,12,20,0,9
1500000US380170010013,380170010013,"Block Group 3, Census Tract 10.01, Cass County, North Dakota",1336,377,1103,369,233,147,56,60,45,56,11,23,11,23,11,23,0,9,10,23,0,9,10,23,156,139,0,9
1500000US380170010021,380170010021,"Block Group 1, Census Tract 10.02, Cass County, North Dakota",911,169,549,149,362,118,276,105,223,84,53,56,86,55,62,52,24,28,0,9,0,9,0,9,0,9,0,9
1500000US380170010022,380170010022,"Block Group 2, Census Tract 10.02, Cass County, North Dakota",1652,248,1466,220,186,103,99,71,93,69,6,11,48,37,48,37,0,9,13,14,7,7,6,11,26,26,0,9
1500000US380170101061,380170101061,"Block Group 1, Census Tract 101.06, Cass County, North Dakota",1681,259,1076,260,605,212,407,194,303,132,104,83,74,56,42,41,32,37,13,21,13,21,0,9,111,85,0,9
1500000US380170101062,380170101062,"Block Group 2, Census Tract 101.06, Cass County, North Dakota",3288,516,1354,359,1690,465,945,384,579,259,366,298,320,281,306,280,14,23,243,238,30,51,213,234,182,160,244,227
1500000US380170101071,380170101071,"Block Group 1, Census Tract 101.07, Cass County, North Dakota",1046,193,795,178,245,120,125,88,125,88,0,9,16,19,8,13,8,15,37,40,25,36,12,18,67,92,6,11
1500000US380170101072,380170101072,"Block Group 2, Census Tract 101.07, Cass County, North Dakota",1612,290,1148,250,399,176,275,152,231,129,44,56,57,54,49,49,8,13,5,8,4,8,1,3,62,60,65,100
1500000US380170101081,380170101081,"Block Group 1, Census Tract 101.08, Cass County, North Dakota",2254,385,1927,357,327,186,212,162,44,65,168,147,50,58,16,25,34,52,48,77,48,77,0,9,17,27,0,9
1500000US380170101082,380170101082,"Block Group 2, Census Tract 101.08, Cass County, North Dakota",3266,530,1688,436,1578,431,838,410,680,395,158,106,481,237,302,196,179,137,93,64,44,53,49,60,166,121,0,9
1500000US380170101091,380170101091,"Block Group 1, Census Tract 101.09, Cass County, North Dakota",2267,372,1903,366,348,190,320,188,80,76,240,184,13,21,0,9,13,21,7,12,7,12,0,9,8,11,16,27
1500000US380170101092,380170101092,"Block Group 2, Census Tract 101.09, Cass County, North Dakota",1582,282,1350,282,232,130,145,118,23,40,122,111,77,71,39,64,38,37,10,16,10,16,0,9,0,9,0,9
1500000US380170102011,380170102011,"Block Group 1, Census Tract 102.01, Cass County, North Dakota",870,244,849,250,21,36,21,36,0,9,21,36,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9
1500000US380170102012,380170102012,"Block Group 2, Census Tract 102.01, Cass County, North Dakota",3324,360,2959,330,365,184,264,167,147,98,117,119,90,97,90,97,0,9,6,13,6,13,0,9,5,11,0,9
1500000US380170102013,380170102013,"Block Group 3, Census Tract 102.01, Cass County, North Dakota",1059,322,1059,322,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9
1500000US380170102031,380170102031,"Block Group 1, Census Tract 102.03, Cass County, North Dakota",863,219,706,234,157,110,42,34,20,17,22,29,89,93,52,81,37,45,0,9,0,9,0,9,26,30,0,9
1500000US380170102032,380170102032,"Block Group 2, Census Tract 102.03, Cass County, North Dakota",1245,353,1110,305,121,128,121,128,43,71,78,111,0,9,0,9,0,9,0,9,0,9,0,9,0,9,14,20
1500000US380170102033,380170102033,"Block Group 3, Census Tract 102.03, Cass County, North Dakota",771,184,652,188,119,87,79,92,70,92,9,14,29,33,11,18,18,29,0,9,0,9,0,9,11,18,0,9
1500000US380170102041,380170102041,"Block Group 1, Census Tract 102.04, Cass County, North Dakota",1171,326,955,320,216,142,138,106,11,18,127,104,59,68,0,9,59,68,19,33,19,33,0,9,0,9,0,9
1500000US380170102042,380170102042,"Block Group 2, Census Tract 102.04, Cass County, North Dakota",5119,437,4495,412,624,202,455,185,210,118,245,148,112,99,5,11,107,99,41,46,41,46,0,12,16,25,0,12
1500000US380170103031,380170103031,"Block Group 1, Census Tract 103.03, Cass County, North Dakota",1135,274,931,245,204,134,124,94,112,89,12,19,40,48,40,48,0,9,0,9,0,9,0,9,40,45,0,9
1500000US380170103032,380170103032,"Block Group 2, Census Tract 103.03, Cass County, North Dakota",1109,258,833,238,276,117,123,87,88,76,35,42,47,36,47,36,0,9,0,9,0,9,0,9,106,76,0,9
1500000US380170103033,380170103033,"Block Group 3, Census Tract 103.03, Cass County, North Dakota",1865,306,1432,292,433,153,264,139,186,119,78,53,76,49,63,45,13,21,57,73,0,9,57,73,36,40,0,9
1500000US380170103034,380170103034,"Block Group 4, Census Tract 103.03, Cass County, North Dakota",2379,298,2220,331,159,135,146,134,146,134,0,9,13,19,13,19,0,9,0,9,0,9,0,9,0,9,0,9
1500000US380170103051,380170103051,"Block Group 1, Census Tract 103.05, Cass County, North Dakota",4560,488,3133,478,1420,467,570,226,504,221,66,49,624,402,20,32,604,401,197,268,197,268,0,9,29,46,7,12
1500000US380170103052,380170103052,"Block Group 2, Census Tract 103.05, Cass County, North Dakota",1761,356,1393,335,368,183,338,175,338,175,0,9,0,9,0,9,0,9,30,48,15,24,15,24,0,9,0,9
1500000US380170103061,380170103061,"Block Group 1, Census Tract 103.06, Cass County, North Dakota",2473,269,2060,270,413,151,295,131,247,120,48,51,79,63,52,58,27,25,17,28,0,9,17,28,22,16,0,9
1500000US380170103062,380170103062,"Block Group 2, Census Tract 103.06, Cass County, North Dakota",1496,262,1376,268,120,83,37,35,37,35,0,9,45,39,0,9,45,39,0,9,0,9,0,9,38,63,0,9
1500000US380170103071,380170103071,"Block Group 1, Census Tract 103.07, Cass County, North Dakota",2168,147,1944,191,213,184,203,184,198,184,5,9,10,15,0,9,10,15,0,9,0,9,0,9,0,9,11,17
1500000US380170401001,380170401001,"Block Group 1, Census Tract 401, Cass County, North Dakota",582,110,493,92,89,56,19,17,3,7,16,15,28,43,0,9,28,43,8,10,2,3,6,9,34,35,0,9
1500000US380170401002,380170401002,"Block Group 2, Census Tract 401, Cass County, North Dakota",674,89,611,89,63,30,37,20,8,8,29,17,0,9,0,9,0,9,0,9,0,9,0,9,26,23,0,9
1500000US380170401003,380170401003,"Block Group 3, Census Tract 401, Cass County, North Dakota",510,103,446,98,48,42,18,14,6,8,12,12,28,36,0,9,28,36,2,4,2,4,0,9,0,9,16,22
1500000US380170402001,380170402001,"Block Group 1, Census Tract 402, Cass County, North Dakota",1088,115,1033,121,55,38,55,38,14,9,41,38,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9
1500000US380170402002,380170402002,"Block Group 2, Census Tract 402, Cass County, North Dakota",1297,132,1211,129,86,41,54,34,31,30,23,17,5,7,0,9,5,7,12,15,12,15,0,9,15,12,0,9
1500000US380170403001,380170403001,"Block Group 1, Census Tract 403, Cass County, North Dakota",982,193,970,189,12,13,0,9,0,9,0,9,0,9,0,9,0,9,12,13,5,8,7,10,0,9,0,9
1500000US380170403002,380170403002,"Block Group 2, Census Tract 403, Cass County, North Dakota",1421,242,1248,274,173,101,110,78,17,25,93,74,14,20,14,20,0,9,14,20,14,20,0,9,35,56,0,9
1500000US380170403003,380170403003,"Block Group 3, Census Tract 403, Cass County, North Dakota",811,167,746,170,65,88,65,88,0,9,65,88,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9
1500000US380170404001,380170404001,"Block Group 1, Census Tract 404, Cass County, North Dakota",1166,153,1074,157,92,70,83,70,37,50,46,50,0,9,0,9,0,9,4,6,0,9,4,6,5,9,0,9
1500000US380170404002,380170404002,"Block Group 2, Census Tract 404, Cass County, North Dakota",902,118,819,108,83,59,70,52,31,28,39,43,0,9,0,9,0,9,0,9,0,9,0,9,13,19,0,9
1500000US380170404003,380170404003,"Block Group 3, Census Tract 404, Cass County, North Dakota",1876,232,1664,218,212,155,201,155,38,40,163,150,0,9,0,9,0,9,0,9,0,9,0,9,11,15,0,9
1500000US380170405001,380170405001,"Block Group 1, Census Tract 405, Cass County, North Dakota",2023,595,1954,593,69,54,55,51,20,23,35,43,6,9,0,9,6,9,8,12,0,9,8,12,0,9,0,9
1500000US380170405002,380170405002,"Block Group 2, Census Tract 405, Cass County, North Dakota",21895,1007,15707,1231,6068,1173,4538,1123,3666,1065,872,398,940,509,596,397,344,252,255,176,51,42,204,169,335,202,120,79
1500000US380170405003,380170405003,"Block Group 3, Census Tract 405, Cass County, North Dakota",1279,297,1245,295,34,55,34,55,18,29,16,26,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9
1500000US380170406001,380170406001,"Block Group 1, Census Tract 406, Cass County, North Dakota",1200,167,1047,176,153,71,124,72,42,48,82,53,3,5,3,5,0,9,10,12,0,9,10,12,16,17,0,9
1500000US380170406002,380170406002,"Block Group 2, Census Tract 406, Cass County, North Dakota",1050,137,1022,133,19,16,19,16,15,15,4,5,0,9,0,9,0,9,0,9,0,9,0,9,0,9,9,12
1500000US380170406003,380170406003,"Block Group 3, Census Tract 406, Cass County, North Dakota",632,132,577,131,55,27,40,25,4,5,36,24,7,7,2,3,5,6,6,6,0,9,6,6,2,3,0,9
