GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Median year structure built,Margin of Error; Median year structure built
1500000US380170001001,380170001001,"Block Group 1, Census Tract 1, Cass County, North Dakota",1962,2
1500000US380170001002,380170001002,"Block Group 2, Census Tract 1, Cass County, North Dakota",1955,2
1500000US380170001003,380170001003,"Block Group 3, Census Tract 1, Cass County, North Dakota",1976,3
1500000US380170001004,380170001004,"Block Group 4, Census Tract 1, Cass County, North Dakota",1975,2
1500000US380170002011,380170002011,"Block Group 1, Census Tract 2.01, Cass County, North Dakota",1978,3
1500000US380170002012,380170002012,"Block Group 2, Census Tract 2.01, Cass County, North Dakota",1961,3
1500000US380170002013,380170002013,"Block Group 3, Census Tract 2.01, Cass County, North Dakota",1975,2
1500000US380170002021,380170002021,"Block Group 1, Census Tract 2.02, Cass County, North Dakota",1982,5
1500000US380170002022,380170002022,"Block Group 2, Census Tract 2.02, Cass County, North Dakota",1969,3
1500000US380170002023,380170002023,"Block Group 3, Census Tract 2.02, Cass County, North Dakota",1957,2
1500000US380170003001,380170003001,"Block Group 1, Census Tract 3, Cass County, North Dakota",1975,7
1500000US380170003002,380170003002,"Block Group 2, Census Tract 3, Cass County, North Dakota",2002,9
1500000US380170003003,380170003003,"Block Group 3, Census Tract 3, Cass County, North Dakota",1992,2
1500000US380170004001,380170004001,"Block Group 1, Census Tract 4, Cass County, North Dakota",1953,3
1500000US380170004002,380170004002,"Block Group 2, Census Tract 4, Cass County, North Dakota",1952,4
1500000US380170004003,380170004003,"Block Group 3, Census Tract 4, Cass County, North Dakota",1954,4
1500000US380170004004,380170004004,"Block Group 4, Census Tract 4, Cass County, North Dakota",1951,11
1500000US380170005011,380170005011,"Block Group 1, Census Tract 5.01, Cass County, North Dakota",1939,***
1500000US380170005012,380170005012,"Block Group 2, Census Tract 5.01, Cass County, North Dakota",1939,***
1500000US380170005013,380170005013,"Block Group 3, Census Tract 5.01, Cass County, North Dakota",1961,19
1500000US380170005014,380170005014,"Block Group 4, Census Tract 5.01, Cass County, North Dakota",1953,13
1500000US380170005021,380170005021,"Block Group 1, Census Tract 5.02, Cass County, North Dakota",1947,14
1500000US380170005022,380170005022,"Block Group 2, Census Tract 5.02, Cass County, North Dakota",1976,4
1500000US380170006001,380170006001,"Block Group 1, Census Tract 6, Cass County, North Dakota",1975,2
1500000US380170006002,380170006002,"Block Group 2, Census Tract 6, Cass County, North Dakota",1958,8
1500000US380170006003,380170006003,"Block Group 3, Census Tract 6, Cass County, North Dakota",1963,11
1500000US380170006004,380170006004,"Block Group 4, Census Tract 6, Cass County, North Dakota",1978,7
1500000US380170007001,380170007001,"Block Group 1, Census Tract 7, Cass County, North Dakota",1939,***
1500000US380170007002,380170007002,"Block Group 2, Census Tract 7, Cass County, North Dakota",1943,12
1500000US380170008011,380170008011,"Block Group 1, Census Tract 8.01, Cass County, North Dakota",1959,16
1500000US380170008012,380170008012,"Block Group 2, Census Tract 8.01, Cass County, North Dakota",1939,***
1500000US380170008013,380170008013,"Block Group 3, Census Tract 8.01, Cass County, North Dakota",1939,***
